Record_ID,Date,Region,Team,Metric_A,Metric_B,Metric_C,Score,Completion_Rate,Status,Is_Priority,Comments
REC-0258,2025-09-15,South,Beta,88.35,149.84,50.25,92.1,0.761,Active,FALSE,Follow-up recommended
REC-0259,2025-09-16,South,Beta,98.83,174.10,,89.9,0.790,Active,FALSE,Routine observation
REC-0260,2025-09-17,West,Alpha,75.76,141.62,29.58,81.8,0.757,Active,FALSE,No action required
REC-0261,2025-09-18,North,Beta,83.31,137.27,42.81,73.0,0.733,Review,FALSE,Within expected range
REC-0262,2025-09-19,North,Gamma,87.92,153.18,42.18,79.8,0.775,Review,FALSE,Performance improving
REC-0263,2025-09-20,South,Beta,83.63,135.54,56.84,77.6,0.643,Paused,FALSE,Routine observation
REC-0264,2025-09-21,North,Alpha,81.82,148.37,38.62,77.2,0.719,Active,TRUE,Follow-up recommended
REC-0265,2025-09-22,East,Alpha,88.53,157.50,39.30,81.5,0.666,Active,FALSE,Routine observation
REC-0266,2025-09-23,South,Beta,97.62,172.46,54.34,85.2,0.732,Active,FALSE,Routine observation
REC-0267,2025-09-24,North,Alpha,75.98,127.98,55.84,80.7,0.721,Paused,TRUE,Follow-up recommended
REC-0268,2025-09-25,North,Gamma,76.34,135.03,52.37,73.2,0.683,Active,FALSE,Within expected range
REC-0269,2025-09-26,South,Epsilon,91.56,156.33,,85.5,0.750,Active,FALSE,Routine observation
REC-0270,2025-09-27,South,Alpha,102.01,174.61,52.57,85.0,0.708,Paused,TRUE,Within expected range
REC-0271,2025-09-28,South,Delta,90.16,164.13,51.35,86.9,0.782,Paused,TRUE,Routine observation
REC-0272,2025-09-29,South,Epsilon,93.71,164.38,54.46,75.7,0.823,Paused,FALSE,Performance improving
REC-0273,2025-09-30,South,Delta,100.22,168.12,36.96,82.9,0.804,Review,TRUE,Follow-up recommended
REC-0274,2025-10-01,North,Beta,75.54,146.51,45.79,80.6,0.821,Active,FALSE,Follow-up recommended
REC-0275,2025-10-02,East,Gamma,73.22,139.82,44.05,73.1,0.705,Review,FALSE,
REC-0276,2025-10-03,East,Epsilon,75.41,123.71,41.97,73.2,0.794,Active,FALSE,Routine observation
REC-0277,2025-10-04,South,Epsilon,97.06,158.64,51.09,90.9,0.716,Active,FALSE,Follow-up recommended
REC-0278,2025-10-05,South,Delta,91.09,164.93,47.98,81.3,0.876,Active,FALSE,Routine observation
REC-0279,2025-10-06,South,Delta,98.33,162.63,56.96,81.8,0.747,Active,FALSE,Within expected range
REC-0280,2025-10-07,North,Delta,92.39,165.27,60.67,80.3,0.677,Active,FALSE,
REC-0281,2025-10-08,East,Delta,87.99,165.73,44.23,78.6,0.818,Active,FALSE,Routine observation
REC-0282,2025-10-09,East,Gamma,85.43,143.45,48.76,68.1,0.861,Active,FALSE,Within expected range
REC-0283,2025-10-10,West,Delta,73.64,125.01,48.68,86.5,0.778,Active,FALSE,Routine observation
REC-0284,2025-10-11,West,Beta,68.00,111.76,32.58,73.3,0.841,Paused,TRUE,Routine observation
REC-0285,2025-10-12,North,Alpha,86.80,162.71,58.35,76.0,0.768,Active,FALSE,Performance improving
REC-0286,2025-10-13,East,Epsilon,73.85,126.26,44.96,66.9,0.774,Active,FALSE,No action required
REC-0287,2025-10-14,South,Alpha,90.29,158.84,50.97,85.5,0.766,Paused,FALSE,Within expected range
REC-0288,2025-10-15,South,Alpha,102.06,183.52,40.15,76.4,0.729,Paused,TRUE,Follow-up recommended
REC-0289,2025-10-16,West,Gamma,77.18,130.57,40.23,68.7,0.891,Paused,FALSE,Follow-up recommended
REC-0290,2025-10-17,South,Gamma,88.72,139.82,51.38,86.5,0.678,Active,FALSE,Performance improving
REC-0291,2025-10-18,East,Beta,90.25,152.32,40.20,76.8,0.802,Active,FALSE,Within expected range
REC-0292,2025-10-19,West,Delta,88.21,165.08,44.29,72.4,0.742,Active,FALSE,No action required
REC-0293,2025-10-20,South,Delta,103.59,186.51,55.04,87.1,0.717,Active,TRUE,Follow-up recommended
REC-0294,2025-10-21,East,Delta,85.97,138.78,60.86,78.3,0.802,Active,FALSE,Follow-up recommended
REC-0295,2025-10-22,East,Alpha,87.25,158.89,36.31,82.2,0.778,Paused,FALSE,Within expected range
REC-0296,2025-10-23,East,Epsilon,78.80,142.28,52.80,73.9,0.751,Active,FALSE,Within expected range
REC-0297,2025-10-24,South,Beta,94.28,165.96,59.32,79.3,0.711,Paused,FALSE,Follow-up recommended
REC-0298,2025-10-25,South,Beta,92.26,170.33,65.12,81.3,0.773,Active,FALSE,Follow-up recommended
REC-0299,2025-10-26,North,Gamma,79.05,124.58,40.91,83.2,0.796,Active,FALSE,
REC-0300,2025-10-27,East,Delta,76.44,129.91,44.23,76.2,0.878,Paused,FALSE,Routine observation
REC-0301,2025-10-28,East,Gamma,72.97,119.04,29.93,81.7,0.702,Active,FALSE,Performance improving
REC-0302,2025-10-29,South,Epsilon,91.22,167.06,50.89,77.5,0.805,Active,FALSE,
REC-0303,2025-10-30,East,Alpha,88.71,145.02,44.80,81.9,0.690,Active,TRUE,Follow-up recommended
REC-0304,2025-10-31,South,Alpha,96.53,172.94,54.55,86.8,0.799,Active,FALSE,Performance improving
REC-0305,2025-11-01,East,Alpha,88.05,154.35,39.24,75.4,0.905,Paused,FALSE,Routine observation
REC-0306,2025-11-02,North,Delta,79.87,145.97,46.69,68.6,0.864,Paused,FALSE,Follow-up recommended
REC-0307,2025-11-03,North,Beta,94.51,176.06,38.97,82.3,0.711,Review,FALSE,Routine observation
REC-0308,2025-11-04,East,Beta,85.59,140.57,,83.9,0.746,Paused,TRUE,Within expected range
REC-0309,2025-11-05,South,Epsilon,92.63,156.48,65.68,77.6,0.697,Active,FALSE,Follow-up recommended
REC-0310,2025-11-06,East,Beta,82.54,149.87,35.41,80.1,0.787,Active,FALSE,No action required
REC-0311,2025-11-07,West,Alpha,82.73,137.75,38.25,82.4,0.713,Active,FALSE,Routine observation
REC-0312,2025-11-08,South,Delta,97.67,167.11,53.15,73.6,0.791,Active,TRUE,
REC-0313,2025-11-09,North,Epsilon,92.13,158.61,54.94,75.9,0.752,Active,FALSE,Follow-up recommended
REC-0314,2025-11-10,East,Epsilon,77.89,124.77,44.72,76.2,0.761,Active,FALSE,Routine observation
REC-0315,2025-11-11,West,Gamma,73.09,125.62,52.71,83.4,0.679,Active,FALSE,Routine observation
REC-0316,2025-11-12,North,Delta,90.42,161.43,60.76,82.3,0.841,Active,FALSE,No action required
REC-0317,2025-11-13,South,Epsilon,97.83,170.03,43.39,82.4,0.925,Active,FALSE,No action required
REC-0318,2025-11-14,East,Beta,89.03,155.29,39.36,73.8,0.844,Review,FALSE,Performance improving
REC-0319,2025-11-15,East,Beta,83.89,167.17,50.56,77.3,0.833,Paused,FALSE,No action required
REC-0320,2025-11-16,West,Epsilon,83.90,143.22,37.53,75.0,0.757,Paused,FALSE,Follow-up recommended
REC-0321,2025-11-17,West,Epsilon,73.48,125.59,38.08,65.7,0.719,Paused,FALSE,Performance improving
REC-0322,2025-11-18,South,Delta,98.10,175.17,44.05,85.8,0.798,Active,FALSE,Within expected range
REC-0323,2025-11-19,South,Gamma,96.99,172.01,53.01,78.2,0.738,Review,FALSE,No action required
REC-0324,2025-11-20,South,Beta,97.99,157.23,51.14,79.4,0.706,Active,TRUE,Performance improving
REC-0325,2025-11-21,East,Epsilon,93.26,167.58,47.10,92.7,0.835,Paused,FALSE,Within expected range
REC-0326,2025-11-22,South,Beta,95.60,165.94,56.21,80.2,0.759,Review,FALSE,Routine observation
REC-0327,2025-11-23,South,Beta,105.18,197.18,,84.7,0.810,Active,TRUE,No action required
REC-0328,2025-11-24,South,Gamma,96.79,158.96,52.54,75.5,0.877,Active,FALSE,Follow-up recommended
REC-0329,2025-11-25,North,Epsilon,87.48,152.28,48.87,83.6,0.767,Review,FALSE,No action required
REC-0330,2025-11-26,East,Alpha,96.02,173.58,47.26,82.4,0.881,Active,FALSE,Routine observation
REC-0331,2025-11-27,West,Alpha,83.49,152.66,,91.3,0.821,Active,FALSE,Performance improving
REC-0332,2025-11-28,South,Epsilon,95.11,169.57,53.56,91.8,0.778,Paused,FALSE,Routine observation
REC-0333,2025-11-29,South,Delta,105.49,179.94,,73.7,0.793,Active,TRUE,Follow-up recommended
REC-0334,2025-11-30,North,Alpha,90.69,172.11,52.16,73.1,0.769,Active,FALSE,Performance improving
REC-0335,2025-12-01,South,Alpha,103.37,183.47,63.17,84.3,0.889,Active,TRUE,Routine observation
REC-0336,2025-12-02,South,Gamma,102.78,174.76,48.47,89.0,0.771,Paused,TRUE,Routine observation
REC-0337,2025-12-03,North,Delta,98.66,157.76,45.23,90.8,0.761,Paused,FALSE,
REC-0338,2025-12-04,West,Beta,97.08,170.46,41.49,76.1,0.756,Active,FALSE,Follow-up recommended
REC-0339,2025-12-05,South,Delta,113.47,189.84,54.79,89.8,0.765,Active,TRUE,Follow-up recommended
REC-0340,2025-12-06,North,Epsilon,90.07,147.82,50.13,79.7,0.821,Paused,TRUE,No action required
REC-0341,2025-12-07,North,Beta,100.51,182.43,52.96,80.1,0.720,Active,TRUE,No action required
REC-0342,2025-12-08,East,Delta,96.25,171.83,48.29,84.1,0.707,Active,FALSE,Within expected range
REC-0343,2025-12-09,West,Delta,82.25,148.59,37.65,78.3,0.785,Active,FALSE,No action required
REC-0344,2025-12-10,South,Alpha,105.98,197.60,43.45,77.2,0.720,Review,TRUE,Performance improving
REC-0345,2025-12-11,North,Gamma,75.27,123.85,36.09,77.9,0.772,Paused,FALSE,Within expected range
REC-0346,2025-12-12,North,Gamma,95.74,155.74,47.86,88.1,0.712,Active,FALSE,No action required
REC-0347,2025-12-13,South,Epsilon,96.24,150.76,51.29,75.1,0.775,Active,FALSE,
REC-0348,2025-12-14,South,Gamma,105.24,170.53,62.12,85.7,0.790,Paused,TRUE,Within expected range
REC-0349,2025-12-15,South,Gamma,104.72,177.87,47.84,83.3,0.770,Paused,TRUE,Routine observation
REC-0350,2025-12-16,West,Epsilon,84.01,134.78,48.20,72.5,0.891,Active,FALSE,No action required
REC-0351,2025-12-17,South,Epsilon,101.99,174.16,54.56,88.8,0.797,Active,TRUE,Performance improving
REC-0352,2025-12-18,South,Delta,105.86,174.65,53.23,80.9,0.754,Active,TRUE,Routine observation
REC-0353,2025-12-19,North,Epsilon,101.82,180.72,53.08,85.1,0.868,Review,TRUE,No action required
REC-0354,2025-12-20,East,Gamma,103.07,185.67,41.41,78.5,0.762,Active,TRUE,Follow-up recommended
REC-0355,2025-12-21,North,Epsilon,223.55,383.98,45.05,100.0,0.795,Review,FALSE,Potential anomaly - investigate
REC-0356,2025-12-22,North,Epsilon,99.76,167.26,44.51,84.6,0.861,Active,FALSE,No action required
REC-0357,2025-12-23,South,Beta,110.38,201.29,46.97,100.0,0.806,Paused,TRUE,Performance improving
REC-0358,2025-12-24,North,Epsilon,85.64,158.02,36.10,80.1,0.741,Paused,FALSE,No action required
REC-0359,2025-12-25,South,Beta,114.71,203.58,,81.0,0.762,Active,TRUE,Follow-up recommended
REC-0360,2025-12-26,North,Epsilon,96.99,170.38,41.97,74.6,0.783,Paused,FALSE,No action required
REC-0361,2025-12-27,South,Gamma,109.01,171.84,37.97,82.3,0.831,Review,TRUE,No action required
REC-0362,2025-12-28,South,Gamma,111.32,194.05,53.07,80.2,0.884,Active,TRUE,Follow-up recommended
REC-0363,2025-12-29,North,Beta,106.49,172.32,47.36,87.4,0.728,Paused,TRUE,Routine observation
REC-0364,2025-12-30,North,Alpha,104.47,174.73,45.57,82.7,0.803,Review,TRUE,Routine observation
REC-0365,2025-12-31,South,Epsilon,110.84,189.30,69.54,95.7,0.844,Active,TRUE,Performance improving
REC-0366,2026-01-01,East,Epsilon,93.83,166.23,36.16,77.0,0.812,Active,TRUE,
REC-0367,2026-01-02,South,Delta,113.21,193.28,57.60,80.5,0.771,Paused,TRUE,Routine observation
REC-0368,2026-01-03,East,Epsilon,98.22,168.12,48.48,81.4,0.778,Review,FALSE,Routine observation
REC-0369,2026-01-04,North,Alpha,100.25,168.14,47.87,88.4,0.857,Active,TRUE,No action required
REC-0370,2026-01-05,East,Delta,90.42,152.93,43.84,65.0,0.745,Active,FALSE,
REC-0371,2026-01-06,South,Beta,109.77,189.54,,79.7,0.947,Review,TRUE,No action required
REC-0372,2026-01-07,South,Alpha,104.68,191.08,47.14,90.7,0.833,Active,TRUE,No action required
REC-0373,2026-01-08,East,Beta,100.29,170.17,43.03,82.0,0.689,Active,TRUE,Follow-up recommended
REC-0374,2026-01-09,South,Beta,108.84,186.50,67.40,92.6,0.804,Review,TRUE,Routine observation
REC-0375,2026-01-10,South,Epsilon,106.41,192.52,46.03,98.1,0.798,Active,TRUE,Performance improving
REC-0376,2026-01-11,North,Delta,95.19,167.93,41.00,81.6,0.797,Paused,FALSE,No action required
REC-0377,2026-01-12,North,Beta,96.49,166.18,50.22,74.3,0.903,Active,FALSE,Follow-up recommended
REC-0378,2026-01-13,South,Beta,104.88,183.57,49.94,78.8,0.842,Active,TRUE,No action required
REC-0379,2026-01-14,South,Alpha,108.06,186.48,39.57,74.1,0.772,Active,TRUE,Follow-up recommended
REC-0380,2026-01-15,South,Alpha,113.84,207.66,65.62,86.6,0.718,Active,TRUE,Within expected range
REC-0381,2026-01-16,North,Alpha,101.32,176.28,45.71,86.0,0.750,Paused,TRUE,Routine observation
REC-0382,2026-01-17,South,Epsilon,97.58,165.62,47.98,87.5,0.760,Review,FALSE,No action required
REC-0383,2026-01-18,West,Gamma,95.11,159.10,49.27,71.9,0.822,Active,FALSE,No action required
REC-0384,2026-01-19,North,Beta,91.67,146.22,39.50,84.6,0.706,Active,TRUE,Follow-up recommended
REC-0385,2026-01-20,East,Epsilon,100.02,171.11,38.61,71.8,0.855,Active,TRUE,No action required
REC-0386,2026-01-21,North,Alpha,104.37,186.78,47.88,94.1,0.815,Active,TRUE,Routine observation
REC-0387,2026-01-22,South,Alpha,107.25,195.62,53.16,85.3,0.791,Active,TRUE,No action required
REC-0388,2026-01-23,West,Gamma,89.64,169.84,37.59,81.2,0.780,Active,TRUE,Within expected range
REC-0389,2026-01-24,West,Gamma,87.96,149.81,39.87,86.7,0.792,Active,FALSE,No action required
REC-0390,2026-01-25,South,Gamma,100.79,177.04,57.08,86.0,0.787,Active,TRUE,Routine observation
REC-0391,2026-01-26,North,Gamma,96.75,168.30,48.17,94.9,0.748,Active,FALSE,Performance improving
REC-0392,2026-01-27,East,Epsilon,89.49,162.48,36.49,77.8,0.868,Active,FALSE,Follow-up recommended
REC-0393,2026-01-28,South,Epsilon,111.96,200.22,42.05,84.2,0.914,Active,TRUE,
REC-0394,2026-01-29,North,Alpha,96.30,160.12,46.65,90.3,0.822,Review,TRUE,Routine observation
REC-0395,2026-01-30,South,Delta,109.60,190.96,46.96,89.8,0.875,Active,TRUE,Performance improving
REC-0396,2026-01-31,West,Delta,92.12,159.29,51.21,85.6,0.847,Review,FALSE,Performance improving
REC-0397,2026-02-01,South,Delta,111.51,197.07,48.85,86.7,0.774,Active,TRUE,
REC-0398,2026-02-02,South,Alpha,95.17,163.54,41.57,83.2,0.799,Active,FALSE,No action required
REC-0399,2026-02-03,South,Beta,110.15,191.10,53.76,77.8,0.680,Active,TRUE,Performance improving
REC-0400,2026-02-04,South,Alpha,105.95,189.04,61.06,83.1,0.787,Active,TRUE,Within expected range
REC-0401,2026-02-05,South,Epsilon,96.63,157.94,67.72,82.2,0.799,Active,FALSE,No action required
REC-0402,2026-02-06,South,Epsilon,105.59,171.73,54.57,78.5,0.853,Active,TRUE,
REC-0403,2026-02-07,East,Epsilon,98.56,169.06,53.39,84.0,0.857,Paused,FALSE,Performance improving
REC-0404,2026-02-08,West,Epsilon,90.52,166.73,28.70,83.8,0.758,Review,FALSE,Performance improving
REC-0405,2026-02-09,South,Gamma,100.64,177.08,46.90,81.6,0.735,Review,TRUE,Performance improving
REC-0406,2026-02-10,East,Beta,89.54,152.09,40.86,77.8,0.800,Active,FALSE,Follow-up recommended
REC-0407,2026-02-11,South,Alpha,107.44,199.25,53.99,79.8,0.867,Review,TRUE,No action required
REC-0408,2026-02-12,South,Alpha,118.76,209.31,43.03,76.8,0.856,Paused,TRUE,Routine observation
REC-0409,2026-02-13,West,Gamma,80.47,141.59,38.67,72.1,0.774,Active,FALSE,Routine observation
REC-0410,2026-02-14,North,Beta,92.01,159.99,42.78,80.0,0.797,Active,FALSE,Routine observation
REC-0411,2026-02-15,East,Delta,91.78,164.20,40.16,83.3,0.879,Active,FALSE,No action required
REC-0412,2026-02-16,South,Gamma,84.70,139.81,56.05,73.6,0.749,Active,FALSE,No action required
REC-0413,2026-02-17,South,Gamma,93.71,158.40,,81.4,0.824,Active,TRUE,No action required
REC-0414,2026-02-18,West,Alpha,89.39,161.81,41.90,79.0,0.865,Review,FALSE,No action required
REC-0415,2026-02-19,North,Alpha,90.44,153.75,49.01,79.1,0.951,Active,FALSE,Within expected range
REC-0416,2026-02-20,West,Alpha,88.69,141.20,,89.8,0.796,Review,FALSE,Within expected range
REC-0417,2026-02-21,South,Alpha,99.90,181.19,49.02,87.6,0.782,Active,FALSE,Follow-up recommended
REC-0418,2026-02-22,West,Delta,94.57,168.76,37.19,88.5,0.783,Paused,FALSE,Performance improving
REC-0419,2026-02-23,South,Alpha,112.52,198.06,57.70,84.0,0.846,Active,TRUE,
REC-0420,2026-02-24,South,Alpha,101.22,182.22,48.18,73.7,0.787,Active,TRUE,No action required
REC-0421,2026-02-25,East,Beta,90.76,159.13,48.50,72.2,0.866,Active,FALSE,Performance improving
REC-0422,2026-02-26,South,Epsilon,95.42,155.62,55.16,86.6,0.875,Active,FALSE,Routine observation
REC-0423,2026-02-27,East,Beta,81.96,144.19,,79.5,0.841,Active,FALSE,Within expected range
REC-0424,2026-02-28,North,Delta,90.52,159.70,47.70,76.2,0.733,Review,FALSE,Follow-up recommended
REC-0425,2026-03-01,South,Epsilon,97.41,175.17,53.15,80.0,0.932,Active,FALSE,
REC-0426,2026-03-02,South,Gamma,92.93,147.53,49.86,83.2,0.796,Active,FALSE,No action required
REC-0427,2026-03-03,South,Epsilon,109.55,186.67,,79.0,0.829,Paused,TRUE,Routine observation
REC-0428,2026-03-04,South,Delta,101.14,179.90,48.28,87.9,0.799,Review,TRUE,Within expected range
REC-0429,2026-03-05,West,Alpha,85.73,168.35,35.13,79.8,0.884,Active,FALSE,Routine observation
REC-0430,2026-03-06,East,Beta,83.56,151.41,37.58,80.7,0.779,Paused,FALSE,Follow-up recommended
REC-0431,2026-03-07,South,Beta,97.77,166.56,62.20,79.2,0.826,Active,FALSE,No action required
REC-0432,2026-03-08,South,Alpha,107.88,202.80,53.05,86.4,0.764,Active,TRUE,Within expected range
REC-0433,2026-03-09,West,Gamma,94.15,167.74,44.69,82.3,0.842,Review,FALSE,Within expected range
REC-0434,2026-03-10,South,Beta,99.06,166.39,48.98,76.4,0.750,Active,FALSE,Follow-up recommended
REC-0435,2026-03-11,North,Beta,91.70,161.70,55.09,94.1,0.806,Active,FALSE,
REC-0436,2026-03-12,West,Delta,90.64,151.73,37.49,86.3,0.834,Paused,TRUE,Performance improving
REC-0437,2026-03-13,West,Epsilon,87.78,145.50,36.25,87.1,0.759,Active,FALSE,
REC-0438,2026-03-14,West,Epsilon,68.69,114.79,47.72,75.7,0.848,Active,FALSE,Performance improving
REC-0439,2026-03-15,South,Beta,87.85,143.99,56.52,86.4,0.858,Paused,FALSE,Performance improving
REC-0440,2026-03-16,North,Epsilon,96.71,164.54,52.77,86.7,0.798,Paused,FALSE,Follow-up recommended
REC-0441,2026-03-17,South,Beta,101.51,176.83,48.48,88.4,0.877,Active,TRUE,Routine observation
REC-0442,2026-03-18,East,Epsilon,84.29,144.45,41.01,78.0,0.861,Active,FALSE,Follow-up recommended
REC-0443,2026-03-19,East,Delta,94.51,160.77,,86.3,0.823,Active,FALSE,Follow-up recommended
REC-0444,2026-03-20,North,Delta,97.39,162.54,62.48,82.7,0.841,Active,FALSE,Performance improving
REC-0445,2026-03-21,South,Epsilon,105.20,182.12,,86.2,0.799,Active,TRUE,Follow-up recommended
REC-0446,2026-03-22,North,Alpha,89.82,143.96,43.28,93.0,0.895,Paused,FALSE,Within expected range
REC-0447,2026-03-23,South,Epsilon,100.18,179.20,58.93,70.8,0.770,Active,TRUE,Within expected range
REC-0448,2026-03-24,East,Delta,91.66,157.96,39.49,81.2,0.871,Active,FALSE,Follow-up recommended
REC-0449,2026-03-25,East,Epsilon,83.24,154.84,42.35,73.0,0.708,Active,FALSE,Performance improving
REC-0450,2026-03-26,South,Epsilon,97.15,173.37,44.17,79.4,0.790,Review,FALSE,Follow-up recommended
REC-0451,2026-03-27,North,Alpha,90.53,144.49,,80.0,0.797,Active,FALSE,Performance improving
REC-0452,2026-03-28,East,Beta,92.24,161.79,40.56,91.2,0.813,Active,FALSE,Routine observation
REC-0453,2026-03-29,East,Epsilon,92.53,176.57,39.72,84.8,0.945,Active,FALSE,Performance improving
REC-0454,2026-03-30,South,Delta,107.90,182.60,45.75,94.2,0.754,Review,TRUE,Within expected range
REC-0455,2026-03-31,South,Alpha,108.41,192.87,62.28,89.2,0.720,Active,TRUE,Routine observation
REC-0456,2026-04-01,North,Delta,87.55,142.23,41.73,76.9,0.740,Paused,FALSE,Within expected range
REC-0457,2026-04-02,North,Beta,86.77,141.44,57.51,76.9,0.909,Active,FALSE,Routine observation
REC-0458,2026-04-03,South,Alpha,107.82,172.14,55.62,89.7,0.719,Active,TRUE,Within expected range
REC-0459,2026-04-04,East,Epsilon,88.72,153.36,,78.8,0.775,Review,FALSE,Routine observation
REC-0460,2026-04-05,East,Epsilon,90.93,153.93,45.51,78.7,0.851,Active,TRUE,Follow-up recommended
REC-0461,2026-04-06,South,Gamma,90.73,160.48,41.67,79.9,0.876,Review,TRUE,No action required
REC-0462,2026-04-07,South,Gamma,97.54,189.69,,74.9,0.866,Review,FALSE,
REC-0463,2026-04-08,West,Alpha,93.09,164.99,42.44,77.7,0.859,Review,FALSE,Performance improving
REC-0464,2026-04-09,East,Epsilon,98.43,180.82,43.82,74.8,0.933,Active,FALSE,Performance improving
REC-0465,2026-04-10,East,Delta,97.61,171.46,47.95,87.7,0.779,Active,FALSE,Follow-up recommended
REC-0466,2026-04-11,East,Gamma,86.65,152.20,36.56,80.1,0.807,Review,FALSE,No action required
REC-0467,2026-04-12,East,Alpha,94.77,160.53,52.01,83.5,0.772,Active,FALSE,Follow-up recommended
REC-0468,2026-04-13,West,Delta,92.36,163.84,38.44,74.9,0.921,Paused,FALSE,Follow-up recommended
REC-0469,2026-04-14,East,Epsilon,88.64,157.17,40.05,75.4,0.814,Active,TRUE,Follow-up recommended
REC-0470,2026-04-15,South,Epsilon,102.31,171.31,41.72,84.0,0.938,Review,TRUE,Routine observation
REC-0471,2026-04-16,South,Gamma,105.85,177.14,57.86,87.7,0.930,Active,TRUE,Within expected range
REC-0472,2026-04-17,South,Delta,103.88,164.39,,83.6,0.790,Active,TRUE,Within expected range
REC-0473,2026-04-18,West,Alpha,87.50,148.83,28.57,71.9,0.938,Active,FALSE,Performance improving
REC-0474,2026-04-19,South,Delta,102.15,183.52,53.04,87.2,0.895,Active,TRUE,Performance improving
REC-0475,2026-04-20,East,Beta,97.72,182.54,43.74,90.1,0.944,Active,FALSE,Routine observation
REC-0476,2026-04-21,West,Epsilon,93.41,158.73,,82.9,0.872,Active,FALSE,No action required
REC-0477,2026-04-22,East,Epsilon,86.88,149.84,58.88,77.9,0.840,Active,TRUE,Within expected range
REC-0478,2026-04-23,East,Beta,92.84,152.77,50.40,73.3,0.834,Review,FALSE,Routine observation
REC-0479,2026-04-24,East,Alpha,102.79,175.88,35.02,76.5,0.808,Active,TRUE,No action required
REC-0480,2026-04-25,South,Delta,104.12,178.99,40.36,97.4,0.838,Paused,TRUE,No action required
REC-0481,2026-04-26,South,Alpha,112.31,189.31,,78.6,0.810,Active,TRUE,No action required
REC-0482,2026-04-27,North,Alpha,103.07,175.19,51.83,87.5,0.855,Active,TRUE,No action required
REC-0483,2026-04-28,North,Delta,99.29,170.36,51.17,83.7,0.806,Review,FALSE,
REC-0484,2026-04-29,North,Beta,102.60,168.15,42.12,86.8,0.798,Active,TRUE,Follow-up recommended
REC-0485,2026-04-30,North,Gamma,88.70,155.36,44.53,82.8,0.902,Paused,FALSE,No action required
REC-0486,2026-05-01,South,Gamma,110.98,206.99,67.98,87.1,0.764,Review,TRUE,Routine observation
REC-0487,2026-05-02,South,Delta,112.45,187.86,45.49,85.8,0.898,Active,TRUE,Within expected range
REC-0488,2026-05-03,East,Beta,220.12,380.52,45.15,100.0,0.837,Review,FALSE,Potential anomaly - investigate
REC-0489,2026-05-04,South,Delta,105.86,195.58,51.98,86.2,0.836,Review,TRUE,Follow-up recommended
REC-0490,2026-05-05,East,Alpha,98.76,182.17,47.93,75.4,0.923,Active,FALSE,Routine observation
REC-0491,2026-05-06,South,Alpha,104.94,169.78,50.78,90.6,0.936,Active,TRUE,
REC-0492,2026-05-07,East,Delta,94.61,145.26,57.97,80.9,0.962,Active,FALSE,Performance improving
REC-0493,2026-05-08,South,Delta,116.63,210.39,,91.1,0.903,Active,TRUE,
REC-0494,2026-05-09,East,Delta,103.41,190.29,43.97,83.8,0.851,Active,TRUE,Performance improving
REC-0495,2026-05-10,West,Epsilon,100.19,175.63,42.05,76.3,0.774,Active,TRUE,No action required
REC-0496,2026-05-11,East,Delta,105.21,191.29,,89.9,0.851,Active,TRUE,Performance improving
REC-0497,2026-05-12,East,Gamma,83.48,141.69,49.80,81.6,0.863,Active,FALSE,Performance improving
REC-0498,2026-05-13,South,Alpha,107.00,182.11,47.17,92.3,0.897,Paused,TRUE,Follow-up recommended
REC-0499,2026-05-14,East,Epsilon,97.82,179.10,45.67,74.1,0.699,Active,FALSE,Routine observation
REC-0500,2026-05-15,East,Delta,101.76,188.77,51.59,80.2,0.797,Paused,TRUE,No action required
REC-0501,2026-05-16,West,Alpha,98.47,163.09,56.15,84.1,0.822,Active,FALSE,Follow-up recommended
REC-0502,2026-05-17,East,Alpha,100.74,171.58,44.16,73.9,0.796,Active,TRUE,Routine observation
REC-0503,2026-05-18,South,Beta,104.35,189.15,62.48,83.2,0.782,Review,TRUE,No action required
REC-0504,2026-05-19,East,Alpha,115.97,196.91,39.51,89.9,0.879,Active,TRUE,Follow-up recommended
REC-0505,2026-05-20,South,Epsilon,113.25,199.12,,79.9,0.859,Active,TRUE,Routine observation
REC-0506,2026-05-21,North,Epsilon,101.40,183.75,43.26,87.0,0.760,Paused,TRUE,Follow-up recommended
REC-0507,2026-05-22,South,Delta,115.73,207.47,48.62,79.9,0.841,Active,TRUE,
REC-0508,2026-05-23,South,Alpha,110.02,214.40,50.39,77.0,0.777,Review,TRUE,No action required
REC-0509,2026-05-24,East,Gamma,101.29,178.55,,92.7,0.918,Active,TRUE,Routine observation
REC-0510,2026-05-25,South,Gamma,108.11,181.89,62.93,85.4,0.841,Paused,TRUE,Routine observation
REC-0511,2026-05-26,East,Delta,102.52,179.12,43.70,90.2,0.804,Paused,TRUE,Within expected range
REC-0512,2026-05-27,South,Beta,112.14,194.99,37.90,83.4,0.889,Active,TRUE,No action required
REC-0513,2026-05-28,North,Epsilon,99.09,175.62,55.31,90.0,0.749,Active,FALSE,
REC-0514,2026-05-29,North,Delta,97.99,166.75,49.10,75.5,0.964,Paused,FALSE,No action required
REC-0515,2026-05-30,South,Beta,123.67,224.59,28.96,91.0,0.764,Active,TRUE,Routine observation
REC-0516,2026-05-31,South,Gamma,107.24,182.46,53.99,98.1,0.797,Review,TRUE,
REC-0517,2026-06-01,West,Epsilon,103.61,183.38,28.59,85.4,0.889,Active,TRUE,
